date,Tavg
2010,27.1
2010,25.7
2010,24.5
2010,25.8
2010,26.8
2010,26.7
2010,27.1
2010,25.7
2010,27.3
2010,26.9
2010,26.3
2010,26.4
2010,27.4
2010,27.5
2010,26.7
2010,25.9
2010,26.1
2010,25.8
2010,27.2
2010,25.9
2010,26.8
2010,27.5
2010,26.9
2010,26.9
2010,27.5
2010,26.4
2010,26.8
2010,27.2
2010,27.5
2010,27.2
2010,26.5
2010,27.0
2010,27.5
2010,27.8
2010,27.8
2010,27.7
2010,27.6
2010,27.2
2010,28.3
2010,28.3
2010,26.9
2010,28.3
2010,27.3
2010,28.3
2010,28.3
2010,26.4
2010,27.6
2010,26.9
2010,27.3
2010,27.6
2010,27.7
2010,26.4
2010,27.4
2010,27.8
2010,27.4
2010,27.2
2010,27.3
2010,27.1
2010,25.6
2010,28.1
2010,28.2
2010,26.1
2010,27.1
2010,25.9
2010,27.5
2010,28.1
2010,27.5
2010,27.9
2010,27.9
2010,28.3
2010,27.2
2010,27.9
2010,27.7
2010,27.5
2010,28.2
2010,27.2
2010,27.6
2010,27.3
2010,25.6
2010,27.1
2010,26.3
2010,28.4
2010,29.0
2010,28.3
2010,28.8
2010,27.5
2010,28.4
2010,29.2
2010,29.3
2010,29.0
2010,29.1
2010,28.4
2010,29.9
2010,26.4
2010,27.8
2010,28.0
2010,26.4
2010,28.7
2010,28.0
2010,29.4
2010,28.7
2010,26.8
2010,28.8
2010,28.6
2010,28.7
2010,27.8
2010,28.7
2010,29.2
2010,29.4
2010,27.9
2010,29.6
2010,29.7
2010,29.6
2010,29.0
2010,29.3
2010,29.0
2010,29.9
2010,29.7
2010,28.8
2010,29.0
2010,29.5
2010,28.2
2010,25.5
2010,26.8
2010,23.8
2010,26.9
2010,26.2
2010,26.4
2010,28.6
2010,28.8
2010,29.3
2010,25.8
2010,27.5
2010,27.8
2010,26.4
2010,28.0
2010,28.0
2010,27.8
2010,28.0
2010,25.5
2010,27.3
2010,27.5
2010,29.2
2010,29.1
2010,28.2
2010,25.8
2010,24.7
2010,24.7
2010,25.5
2010,27.0
2010,28.4
2010,26.2
2010,26.2
2010,25.4
2010,26.6
2010,25.1
2010,27.0
2010,27.4
2010,28.8
2010,28.1
2010,27.7
2010,28.5
2010,28.0
2010,25.9
2010,27.2
2010,25.3
2010,28.3
2010,27.5
2010,26.5
2010,28.0
2010,28.2
2010,26.3
2010,24.6
2010,27.3
2010,29.2
2010,27.9
2010,28.0
2010,28.2
2010,28.0
2010,27.2
2010,28.4
2010,27.1
2010,25.7
2010,27.7
2010,27.9
2010,27.1
2010,27.6
2010,27.9
2010,27.0
2010,26.7
2010,25.9
2010,27.7
2010,28.3
2010,29.2
2010,27.9
2010,28.0
2010,29.0
2010,29.1
2010,26.2
2010,27.5
2010,27.1
2010,25.4
2010,26.2
2010,28.1
2010,28.2
2010,28.4
2010,28.2
2010,27.7
2010,28.3
2010,27.4
2010,27.0
2010,28.2
2010,26.9
2010,28.1
2010,27.3
2010,28.2
2010,27.8
2010,27.2
2010,25.9
2010,26.9
2010,27.5
2010,24.9
2010,26.6
2010,27.0
2010,27.3
2010,25.7
2010,25.0
2010,28.0
2010,29.2
2010,27.9
2010,28.4
2010,28.7
2010,28.0
2010,28.5
2010,28.2
2010,27.5
2010,28.3
2010,27.7
2010,27.2
2010,28.3
2010,28.0
2010,28.8
2010,28.2
2010,27.9
2010,28.0
2010,28.1
2010,27.7
2010,27.6
2010,28.1
2010,27.5
2010,25.5
2010,26.1
2010,25.8
2010,24.2
2010,23.5
2010,26.4
2010,26.3
2010,26.1
2010,27.1
2010,26.5
2010,27.5
2010,25.0
2010,25.8
2010,23.9
2010,25.3
2010,26.9
2010,26.8
2010,26.2
2010,26.7
2010,26.4
2010,25.6
2010,26.0
2010,26.5
2010,27.2
2010,25.6
2010,25.6
2010,26.3
2010,25.9
2010,25.8
2010,26.7
2010,26.2
2010,26.1
2010,25.3
2010,27.0
2010,26.0
2010,26.2
2010,25.3
2010,25.4
2010,26.6
2010,25.7
2010,25.8
2010,25.9
2010,24.8
2010,25.2
2010,26.9
2010,26.2
2010,25.9
2010,27.0
2010,26.7
2010,26.3
2010,25.6
2010,25.6
2010,26.2
2011,26.3
2011,26.1
2011,25.7
2011,26.5
2011,26.2
2011,26.6
2011,24.7
2011,24.8
2011,26.5
2011,26.6
2011,25.7
2011,27.1
2011,25.8
2011,26.6
2011,26.1
2011,27.5
2011,26.9
2011,26.8
2011,27.1
2011,26.6
2011,26.7
2011,25.9
2011,24.5
2011,24.4
2011,23.9
2011,26.4
2011,26.5
2011,24.4
2011,25.4
2011,26.7
2011,26.3
2011,26.7
2011,26.5
2011,26.4
2011,26.9
2011,26.7
2011,26.6
2011,26.1
2011,27.6
2011,26.4
2011,26.7
2011,26.2
2011,27.2
2011,27.0
2011,27.8
2011,27.5
2011,27.0
2011,26.6
2011,26.9
2011,26.3
2011,26.6
2011,26.7
2011,27.4
2011,27.0
2011,27.2
2011,27.4
2011,28.1
2011,27.2
2011,25.8
2011,25.9
2011,26.1
2011,27.1
2011,26.8
2011,28.4
2011,27.6
2011,27.1
2011,26.9
2011,27.5
2011,26.5
2011,25.8
2011,24.7
2011,24.1
2011,25.2
2011,27.1
2011,25.1
2011,27.1
2011,26.4
2011,27.1
2011,26.8
2011,27.7
2011,28.3
2011,27.4
2011,27.4
2011,27.1
2011,27.4
2011,26.9
2011,27.1
2011,27.1
2011,27.4
2011,26.9
2011,27.7
2011,26.5
2011,27.9
2011,28.7
2011,27.3
2011,28.2
2011,27.7
2011,27.4
2011,26.7
2011,27.7
2011,27.8
2011,27.0
2011,27.4
2011,26.1
2011,27.1
2011,27.6
2011,28.0
2011,28.3
2011,28.6
2011,28.1
2011,26.4
2011,25.3
2011,27.3
2011,26.4
2011,25.3
2011,27.2
2011,28.2
2011,28.4
2011,27.8
2011,28.2
2011,27.0
2011,27.7
2011,27.6
2011,28.2
2011,27.9
2011,27.7
2011,27.6
2011,28.0
2011,28.9
2011,28.2
2011,28.5
2011,28.9
2011,26.5
2011,27.5
2011,28.0
2011,26.5
2011,28.3
2011,28.7
2011,29.1
2011,28.5
2011,29.0
2011,28.8
2011,28.3
2011,28.7
2011,28.4
2011,29.0
2011,29.4
2011,29.2
2011,29.3
2011,27.0
2011,29.4
2011,28.8
2011,28.8
2011,28.6
2011,29.0
2011,29.3
2011,27.0
2011,28.1
2011,27.9
2011,28.0
2011,27.4
2011,29.4
2011,26.3
2011,27.3
2011,27.4
2011,27.6
2011,28.9
2011,28.4
2011,28.7
2011,28.4
2011,28.3
2011,28.7
2011,28.0
2011,28.4
2011,27.7
2011,26.2
2011,26.4
2011,26.1
2011,27.4
2011,27.1
2011,27.7
2011,27.1
2011,28.2
2011,27.2
2011,28.8
2011,29.0
2011,29.3
2011,27.1
2011,27.7
2011,27.9
2011,26.8
2011,27.0
2011,29.6
2011,29.2
2011,28.5
2011,28.2
2011,29.0
2011,29.3
2011,28.2
2011,27.1
2011,28.5
2011,28.4
2011,29.8
2011,27.8
2011,28.6
2011,29.1
2011,28.2
2011,27.2
2011,28.6
2011,27.6
2011,28.9
2011,27.8
2011,28.0
2011,28.0
2011,26.3
2011,28.4
2011,27.2
2011,27.0
2011,27.4
2011,28.2
2011,27.5
2011,25.3
2011,27.9
2011,27.2
2011,28.8
2011,28.3
2011,27.9
2011,27.6
2011,29.2
2011,28.3
2011,25.0
2011,22.7
2011,27.2
2011,27.8
2011,26.9
2011,26.5
2011,26.4
2011,26.7
2011,27.2
2011,28.5
2011,26.5
2011,27.9
2011,26.6
2011,24.3
2011,27.3
2011,26.4
2011,27.9
2011,26.1
2011,25.6
2011,28.7
2011,26.5
2011,25.1
2011,26.3
2011,26.6
2011,25.7
2011,27.0
2011,28.7
2011,27.9
2011,27.6
2011,26.2
2011,28.2
2011,26.0
2011,25.9
2011,26.0
2011,25.8
2011,25.2
2011,27.0
2011,25.4
2011,24.8
2011,24.7
2011,26.2
2011,26.7
2011,26.7
2011,24.4
2011,26.6
2011,27.0
2011,26.5
2011,26.4
2011,23.3
2011,25.5
2011,27.4
2011,27.4
2011,27.4
2011,25.5
2011,27.6
2011,28.3
2011,26.3
2011,25.9
2011,27.1
2011,26.3
2011,27.6
2011,27.0
2011,25.8
2011,26.9
2011,25.3
2011,27.7
2011,25.3
2011,25.3
2011,24.5
2011,27.1
2011,25.2
2011,26.7
2011,25.3
2011,26.8
2011,27.5
2011,28.7
2011,26.1
2011,27.1
2011,26.9
2011,26.3
2011,26.1
2011,23.8
2011,25.5
2011,26.2
2011,26.5
2011,25.8
2011,26.0
2011,25.6
2011,25.9
2011,25.4
2011,26.9
2011,27.1
2011,25.5
2011,25.7
2011,27.6
2011,27.1
2011,26.6
2011,27.1
2011,28.0
2011,26.1
2011,26.2
2012,26.5
2012,26.5
2012,24.8
2012,26.6
2012,25.9
2012,25.2
2012,25.8
2012,24.9
2012,26.1
2012,26.4
2012,26.5
2012,27.2
2012,27.2
2012,26.8
2012,24.1
2012,26.5
2012,26.2
2012,25.7
2012,26.1
2012,26.5
2012,27.4
2012,27.8
2012,26.2
2012,27.1
2012,25.8
2012,26.8
2012,27.2
2012,27.5
2012,27.2
2012,26.5
2012,27.0
2012,27.5
2012,27.8
2012,27.8
2012,27.7
2012,27.6
2012,27.2
2012,28.3
2012,28.3
2012,26.9
2012,28.3
2012,27.3
2012,28.3
2012,28.3
2012,26.4
2012,27.6
2012,26.9
2012,27.3
2012,27.6
2012,27.7
2012,26.0
2012,26.1
2012,25.8
2012,24.4
2012,27.2
2012,26.2
2012,27.3
2012,26.4
2012,26.8
2012,27.5
2012,27.8
2012,26.7
2012,26.0
2012,26.4
2012,27.4
2012,27.1
2012,26.7
2012,26.8
2012,26.7
2012,27.2
2012,27.6
2012,28.9
2012,27.2
2012,27.4
2012,26.1
2012,27.5
2012,25.0
2012,28.2
2012,27.4
2012,27.5
2012,27.6
2012,28.1
2012,25.9
2012,27.3
2012,28.0
2012,27.9
2012,26.4
2012,28.3
2012,28.1
2012,28.5
2012,28.4
2012,28.2
2012,28.4
2012,28.8
2012,29.1
2012,26.1
2012,28.3
2012,28.8
2012,27.2
2012,27.6
2012,25.7
2012,27.3
2012,28.5
2012,28.0
2012,28.7
2012,29.1
2012,27.3
2012,28.8
2012,29.0
2012,29.0
2012,28.4
2012,28.2
2012,27.6
2012,28.2
2012,28.3
2012,29.8
2012,30.0
2012,26.0
2012,25.8
2012,24.4
2012,24.3
2012,24.9
2012,25.7
2012,26.0
2012,27.8
2012,25.8
2012,27.3
2012,27.0
2012,27.6
2012,28.7
2012,28.0
2012,26.6
2012,23.6
2012,27.4
2012,27.4
2012,27.6
2012,26.0
2012,28.7
2012,29.3
2012,26.6
2012,28.9
2012,28.6
2012,28.0
2012,28.4
2012,28.1
2012,27.7
2012,28.8
2012,29.1
2012,28.6
2012,26.8
2012,28.2
2012,27.4
2012,27.8
2012,28.2
2012,28.5
2012,28.2
2012,28.7
2012,28.5
2012,27.5
2012,26.4
2012,26.8
2012,28.3
2012,27.4
2012,26.1
2012,25.7
2012,27.3
2012,25.7
2012,27.3
2012,28.0
2012,28.4
2012,27.4
2012,27.9
2012,27.7
2012,28.4
2012,26.7
2012,28.8
2012,26.9
2012,28.5
2012,28.0
2012,26.6
2012,29.3
2012,29.1
2012,29.7
2012,29.5
2012,29.0
2012,29.1
2012,28.6
2012,28.7
2012,28.0
2012,28.9
2012,28.9
2012,27.8
2012,28.0
2012,28.6
2012,28.7
2012,28.7
2012,28.3
2012,28.1
2012,27.3
2012,27.5
2012,28.1
2012,26.5
2012,27.5
2012,27.3
2012,28.0
2012,27.5
2012,26.5
2012,26.3
2012,27.4
2012,26.4
2012,27.6
2012,27.8
2012,27.1
2012,26.5
2012,28.1
2012,28.4
2012,27.5
2012,28.1
2012,28.2
2012,25.1
2012,26.9
2012,29.1
2012,29.3
2012,28.5
2012,28.5
2012,26.0
2012,26.6
2012,25.1
2012,28.1
2012,27.0
2012,28.3
2012,27.7
2012,28.7
2012,27.9
2012,27.8
2012,27.8
2012,27.4
2012,24.3
2012,24.5
2012,26.1
2012,26.1
2012,28.2
2012,28.4
2012,28.4
2012,28.2
2012,27.3
2012,27.8
2012,28.4
2012,28.2
2012,28.0
2012,28.1
2012,27.5
2012,27.0
2012,27.6
2012,27.4
2012,26.5
2012,26.6
2012,26.7
2012,25.7
2012,27.2
2012,26.2
2012,27.0
2012,28.0
2012,27.1
2012,26.3
2012,25.6
2012,27.5
2012,26.1
2012,26.5
2012,26.5
2012,28.5
2012,27.0
2012,27.6
2012,27.2
2012,28.1
2012,26.3
2012,27.2
2012,26.6
2012,27.1
2012,26.4
2012,27.0
2012,26.2
2012,24.4
2012,26.8
2012,27.5
2012,27.0
2012,27.2
2012,26.3
2012,25.7
2012,26.3
2012,26.0
2012,26.1
2012,26.1
2012,25.0
2012,25.0
2012,26.9
2012,25.2
2012,26.5
2012,25.7
2012,26.5
2012,26.0
2012,26.7
2012,26.9
2012,26.6
2012,27.5
2012,26.5
2012,27.0
2012,26.5
2012,25.6
2013,27.4
2013,26.9
2013,25.6
2013,27.0
2013,25.2
2013,27.1
2013,26.4
2013,26.5
2013,25.3
2013,26.1
2013,26.4
2013,26.0
2013,24.9
2013,26.6
2013,26.5
2013,25.7
2013,27.4
2013,27.4
2013,25.7
2013,24.9
2013,27.5
2013,27.1
2013,27.2
2013,26.6
2013,25.9
2013,26.9
2013,27.6
2013,26.8
2013,26.3
2013,26.9
2013,27.3
2013,24.5
2013,26.2
2013,26.8
2013,26.1
2013,25.0
2013,27.1
2013,26.4
2013,26.3
